week,week_start_date,market,brand,keyword,flavor,search_volume,relative_index,yoy_change_pct,is_anomaly_week,anomaly_type
2024-W49,2024-12-04,India,Lay's,lays chips,chips,79836,1.079,2.4,False,
2024-W49,2024-12-04,India,Lay's,lays magic masala,magic masala,50704,0.994,-7.0,False,
2024-W49,2024-12-04,India,Lay's,lays classic salted,classic salted,44317,1.166,12.3,False,
2024-W49,2024-12-04,India,Lay's,lays american cream onion,american cream onion,27785,0.958,2.3,False,
2024-W49,2024-12-04,India,Lay's,lays spanish tomato tango,spanish tomato tango,24412,1.11,7.0,False,
2024-W49,2024-12-04,India,Lay's,lays max peri peri,max peri peri,16789,0.933,19.1,False,
2024-W49,2024-12-04,India,Lay's,buy lays online,buy  online,32127,1.036,22.5,False,
2024-W49,2024-12-04,India,Lay's,lays price,price,29647,1.059,2.0,False,
2024-W49,2024-12-04,India,Pringles,pringles chips,chips,42036,1.106,16.3,False,
2024-W49,2024-12-04,India,Pringles,pringles original,original,23889,1.086,0.0,False,
2024-W49,2024-12-04,India,Pringles,pringles sour cream onion,sour cream onion,21311,1.184,26.7,False,
2024-W49,2024-12-04,India,Pringles,pringles price india,price india,15652,0.978,13.1,False,
2024-W49,2024-12-04,India,Pringles,pringles cheddar,cheddar,12736,1.158,23.1,False,
2024-W49,2024-12-04,India,Doritos,doritos nacho cheese,nacho cheese,35092,1.21,-11.3,False,
2024-W49,2024-12-04,India,Doritos,doritos cool ranch,cool ranch,15617,0.919,-8.3,False,
2024-W49,2024-12-04,India,Doritos,doritos flamin hot,flamin hot,25006,1.191,9.4,False,
2024-W49,2024-12-04,India,Doritos,doritos sweet chili,sweet chili,14298,1.192,-4.9,False,
2024-W49,2024-12-04,India,Doritos,doritos controversy,controversy,1336,0.334,28.0,False,
2024-W49,2024-12-04,India,category,best chips brand india,best chips brand india,46111,0.961,22.0,False,
2024-W49,2024-12-04,India,category,healthy snacks india,healthy snacks india,70078,0.987,15.9,False,
2024-W49,2024-12-04,India,category,chips on offer today,chips on offer today,38183,0.979,17.3,False,
2024-W49,2024-12-04,India,category,snacks for ipl party,snacks for ipl party,23415,1.064,6.7,False,
2024-W49,2024-12-04,US,Lay's,lays chips,chips,73865,1.086,9.5,False,
2024-W49,2024-12-04,US,Lay's,lays classic,classic,53408,0.971,6.2,False,
2024-W49,2024-12-04,US,Lay's,lays sour cream onion,sour cream onion,28796,0.993,4.5,False,
2024-W49,2024-12-04,US,Lay's,lays baked,baked,26214,1.092,-2.6,False,
2024-W49,2024-12-04,US,Lay's,lays chile limon,chile limon,18583,0.978,2.6,False,
2024-W49,2024-12-04,US,Lay's,buy lays bulk,buy  bulk,20666,1.148,-15.4,False,
2024-W49,2024-12-04,US,Pringles,pringles chips,chips,61759,0.996,17.9,False,
2024-W49,2024-12-04,US,Pringles,pringles sour cream,sour cream,37067,1.09,19.3,False,
2024-W49,2024-12-04,US,Pringles,pringles original,original,27148,0.97,28.7,False,
2024-W49,2024-12-04,US,Pringles,pringles bbq,bbq,20091,0.957,13.4,False,
2024-W49,2024-12-04,US,Pringles,pringles price drop,price drop,9867,0.897,1.6,False,
2024-W49,2024-12-04,US,Doritos,doritos nacho cheese,nacho cheese,63725,1.099,14.5,False,
2024-W49,2024-12-04,US,Doritos,doritos cool ranch,cool ranch,50370,1.049,7.1,False,
2024-W49,2024-12-04,US,Doritos,doritos flamin hot,flamin hot,43481,1.035,6.8,False,
2024-W49,2024-12-04,US,Doritos,doritos spicy nacho,spicy nacho,32215,1.039,34.8,False,
2024-W49,2024-12-04,US,Doritos,doritos controversy,controversy,3916,0.489,10.7,False,
2024-W49,2024-12-04,US,category,best chips brand,best chips brand,59542,1.145,14.2,False,
2024-W49,2024-12-04,US,category,healthy chip snacks,healthy chip snacks,90731,1.031,-0.7,False,
2024-W49,2024-12-04,US,category,chips on sale near me,chips on sale near me,71095,1.128,-6.2,False,
2024-W49,2024-12-04,US,category,super bowl snack ideas,super bowl snack ideas,46703,1.061,14.9,False,
2024-W50,2024-12-11,India,Lay's,lays chips,chips,87104,1.177,-11.7,False,
2024-W50,2024-12-11,India,Lay's,lays magic masala,magic masala,65770,1.29,19.2,False,
2024-W50,2024-12-11,India,Lay's,lays classic salted,classic salted,40582,1.068,8.2,False,
2024-W50,2024-12-11,India,Lay's,lays american cream onion,american cream onion,33884,1.168,22.0,False,
2024-W50,2024-12-11,India,Lay's,lays spanish tomato tango,spanish tomato tango,24860,1.13,7.3,False,
2024-W50,2024-12-11,India,Lay's,lays max peri peri,max peri peri,21091,1.172,16.1,False,
2024-W50,2024-12-11,India,Lay's,buy lays online,buy  online,39665,1.28,1.5,False,
2024-W50,2024-12-11,India,Lay's,lays price,price,34034,1.216,4.3,False,
2024-W50,2024-12-11,India,Pringles,pringles chips,chips,36986,0.973,6.0,False,
2024-W50,2024-12-11,India,Pringles,pringles original,original,26274,1.194,15.7,False,
2024-W50,2024-12-11,India,Pringles,pringles sour cream onion,sour cream onion,21214,1.179,21.3,False,
2024-W50,2024-12-11,India,Pringles,pringles price india,price india,20206,1.263,4.1,False,
2024-W50,2024-12-11,India,Pringles,pringles cheddar,cheddar,11395,1.036,-27.4,False,
2024-W50,2024-12-11,India,Doritos,doritos nacho cheese,nacho cheese,37413,1.29,16.7,False,
2024-W50,2024-12-11,India,Doritos,doritos cool ranch,cool ranch,17273,1.016,-0.6,False,
2024-W50,2024-12-11,India,Doritos,doritos flamin hot,flamin hot,21452,1.022,11.4,False,
2024-W50,2024-12-11,India,Doritos,doritos sweet chili,sweet chili,12573,1.048,20.9,False,
2024-W50,2024-12-11,India,Doritos,doritos controversy,controversy,1095,0.274,-5.5,False,
2024-W50,2024-12-11,India,category,best chips brand india,best chips brand india,50930,1.061,11.6,False,
2024-W50,2024-12-11,India,category,healthy snacks india,healthy snacks india,90861,1.28,-14.9,False,
2024-W50,2024-12-11,India,category,chips on offer today,chips on offer today,49339,1.265,18.2,False,
2024-W50,2024-12-11,India,category,snacks for ipl party,snacks for ipl party,23718,1.078,-3.0,False,
2024-W50,2024-12-11,US,Lay's,lays chips,chips,67445,0.992,22.4,False,
2024-W50,2024-12-11,US,Lay's,lays classic,classic,57515,1.046,-16.4,False,
2024-W50,2024-12-11,US,Lay's,lays sour cream onion,sour cream onion,33619,1.159,27.7,False,
2024-W50,2024-12-11,US,Lay's,lays baked,baked,26758,1.115,6.7,False,
2024-W50,2024-12-11,US,Lay's,lays chile limon,chile limon,20276,1.067,13.1,False,
2024-W50,2024-12-11,US,Lay's,buy lays bulk,buy  bulk,21062,1.17,19.2,False,
2024-W50,2024-12-11,US,Pringles,pringles chips,chips,67142,1.083,-2.2,False,
2024-W50,2024-12-11,US,Pringles,pringles sour cream,sour cream,36827,1.083,-2.7,False,
2024-W50,2024-12-11,US,Pringles,pringles original,original,33337,1.191,-3.1,False,
2024-W50,2024-12-11,US,Pringles,pringles bbq,bbq,19086,0.909,30.6,False,
2024-W50,2024-12-11,US,Pringles,pringles price drop,price drop,10486,0.953,13.3,False,
2024-W50,2024-12-11,US,Doritos,doritos nacho cheese,nacho cheese,61740,1.064,5.4,False,
2024-W50,2024-12-11,US,Doritos,doritos cool ranch,cool ranch,52371,1.091,19.7,False,
2024-W50,2024-12-11,US,Doritos,doritos flamin hot,flamin hot,40099,0.955,9.8,False,
2024-W50,2024-12-11,US,Doritos,doritos spicy nacho,spicy nacho,31285,1.009,5.8,False,
2024-W50,2024-12-11,US,Doritos,doritos controversy,controversy,4443,0.555,13.3,False,
2024-W50,2024-12-11,US,category,best chips brand,best chips brand,50884,0.979,6.1,False,
2024-W50,2024-12-11,US,category,healthy chip snacks,healthy chip snacks,100395,1.141,25.9,False,
2024-W50,2024-12-11,US,category,chips on sale near me,chips on sale near me,61245,0.972,11.6,False,
2024-W50,2024-12-11,US,category,super bowl snack ideas,super bowl snack ideas,50315,1.144,1.5,False,
2024-W51,2024-12-18,India,Lay's,lays chips,chips,88508,1.196,11.7,False,
2024-W51,2024-12-18,India,Lay's,lays magic masala,magic masala,56818,1.114,3.6,False,
2024-W51,2024-12-18,India,Lay's,lays classic salted,classic salted,46620,1.227,17.8,False,
2024-W51,2024-12-18,India,Lay's,lays american cream onion,american cream onion,34402,1.186,-3.9,False,
2024-W51,2024-12-18,India,Lay's,lays spanish tomato tango,spanish tomato tango,23393,1.063,11.9,False,
2024-W51,2024-12-18,India,Lay's,lays max peri peri,max peri peri,21683,1.205,3.4,False,
2024-W51,2024-12-18,India,Lay's,buy lays online,buy  online,36681,1.183,10.4,False,
2024-W51,2024-12-18,India,Lay's,lays price,price,37109,1.325,2.7,False,
2024-W51,2024-12-18,India,Pringles,pringles chips,chips,44610,1.174,-18.3,False,
2024-W51,2024-12-18,India,Pringles,pringles original,original,25034,1.138,22.5,False,
2024-W51,2024-12-18,India,Pringles,pringles sour cream onion,sour cream onion,18031,1.002,15.7,False,
2024-W51,2024-12-18,India,Pringles,pringles price india,price india,18020,1.126,12.8,False,
